epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,5.051407874699608e-06,2.772571384906769,0.11322201652250069,2.572608079229082,0.03794642857142857,0.018282126627141113,0.0904479578392622,0.06896551724137931,0.0,0.0,0.037037037037037035,0.0,0.0,0.05853658536585366,0.0,0.0
2,8.159570727174194e-06,2.670922415597098,0.12057415025318088,2.5387120076588223,0.033482142857142856,0.007358351729212657,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.06622516556291391,0.0,0.0
3,1.3188324103301281e-05,2.5783620178699493,0.11045650498019058,2.464264835630144,0.04241071428571429,0.023828465355911654,0.13043478260869565,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07159904534606205,0.0,0.0
4,1.99173650489316e-05,2.4573859870433807,0.143460958580409,2.219623327255249,0.13392857142857142,0.09345455535115255,0.1949437438567873,0.18834080717488788,0.0,0.0,0.2761904761904762,0.0,0.0,0.07352941176470588,0.0,0.30303030303030304
5,2.805190328742299e-05,2.2596641097749983,0.23073966432589516,1.9126967106546675,0.22991071428571427,0.16728514967303976,0.2755548270897303,0.205607476635514,0.025974025974025976,0.1875,0.45188284518828453,0.0,0.06,0.0,0.05405405405405406,0.5205479452054794
6,3.7235575587067326e-05,2.0538619267089024,0.3070075286958951,1.7984624760491508,0.2924107142857143,0.278280384095284,0.3767409496373448,0.2962962962962963,0.297029702970297,0.2222222222222222,0.3614457831325301,0.05405405405405406,0.3816793893129771,0.14634146341463414,0.2,0.5454545454545454
7,4.706605755726019e-05,1.9022357016801834,0.37215490037672083,1.6544658882277352,0.4330357142857143,0.4108539788156183,0.4829212511720012,0.3492063492063492,0.5925925925925926,0.4,0.23333333333333334,0.4485981308411215,0.5641025641025641,0.1891891891891892,0.27450980392156865,0.6461538461538462
8,5.711268894152018e-05,1.6884582745177406,0.44805001759915164,1.5723310368401664,0.39732142857142855,0.41968457901606965,0.5066068996208943,0.4,0.6119402985074627,0.5128205128205128,0.18181818181818182,0.2916666666666667,0.5481481481481482,0.2028985507246377,0.32786885245901637,0.7
9,6.693534026686333e-05,1.5739267213003976,0.4786077075534397,1.4877486058643885,0.43526785714285715,0.4303500506649598,0.48592943582831516,0.3,0.509090909090909,0.47058823529411764,0.3741935483870968,0.3541666666666667,0.6666666666666666,0.2191780821917808,0.24242424242424243,0.7368421052631579
10,7.610369432687743e-05,1.486036975468908,0.5157608184516264,1.2703018273626054,0.546875,0.49855785407821607,0.5493071312643253,0.35294117647058826,0.7272727272727273,0.55,0.5325443786982249,0.5142857142857142,0.7051282051282052,0.12,0.16666666666666666,0.8181818181818182
11,8.421609780253188e-05,1.2848851308226585,0.6059788124046134,1.2270342452185494,0.5669642857142857,0.48323432668408195,0.543263321976536,0.3620689655172414,0.7515923566878981,0.55,0.5895953757225434,0.48484848484848486,0.7283950617283951,0.05,0.05,0.782608695652174
12,9.09171571564499e-05,1.2734657302498817,0.6185768895279689,1.2832029887608118,0.5870535714285714,0.5420323269909026,0.5925933146823311,0.4675324675324675,0.8280254777070064,0.5217391304347826,0.3492063492063492,0.5523809523809524,0.75,0.12121212121212122,0.4444444444444444,0.84375
13,9.591330794806738e-05,1.3257733945335661,0.6068167609252589,1.1732042389256614,0.609375,0.568000357087532,0.5967979024676331,0.41304347826086957,0.7538461538461538,0.7,0.5952380952380952,0.5185185185185185,0.7821229050279329,0.047619047619047616,0.4050632911392405,0.896551724137931
