epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,5.051407874699608e-06,6.863223995481219,0.12096764117901565,6.817104509898594,0.08705357142857142,0.0739819121662781,0.10373079597710347,0.0,0.0449438202247191,0.058823529411764705,0.15942028985507245,0.13186813186813187,0.037037037037037035,0.046511627906976744,0.0898876404494382,0.09734513274336283
2,8.159570727174194e-06,6.351271578243801,0.14216788969247585,6.743398121425083,0.11383928571428571,0.10238539674538595,0.14121110565236406,0.11764705882352941,0.0425531914893617,0.05714285714285714,0.23529411764705882,0.13333333333333333,0.019417475728155338,0.0975609756097561,0.09411764705882353,0.12440191387559808
3,1.3188324103301281e-05,5.379095107316971,0.1809234560567663,5.684654985155378,0.14732142857142858,0.13236226454691152,0.17905838489420045,0.2033898305084746,0.043478260869565216,0.06557377049180328,0.2988505747126437,0.15555555555555556,0.037037037037037035,0.12244897959183673,0.12048192771084337,0.14444444444444443
4,1.99173650489316e-05,4.687984441007886,0.19838083036647436,4.350141337939671,0.17857142857142858,0.15470902802591946,0.21128910835536108,0.25,0.06315789473684211,0.03571428571428571,0.3389830508474576,0.18823529411764706,0.08771929824561403,0.09523809523809523,0.1282051282051282,0.20512820512820512
5,2.805190328742299e-05,3.8884627521038055,0.25535359654194945,3.7629460266658237,0.20535714285714285,0.1773893281634727,0.23481291284647954,0.3283582089552239,0.16161616161616163,0.044444444444444446,0.3684210526315789,0.13953488372093023,0.11570247933884298,0.07228915662650602,0.11428571428571428,0.2518518518518518
6,3.7235575587067326e-05,3.3656171347413744,0.30463886686971503,3.3991129057747975,0.26339285714285715,0.23583492256833427,0.2931858124142559,0.3380281690140845,0.2905982905982906,0.08888888888888889,0.4020618556701031,0.24444444444444444,0.1652892561983471,0.11494252873563218,0.14492753623188406,0.3333333333333333
7,4.706605755726019e-05,2.9298874927418574,0.3501642491816143,3.0015057155064175,0.30357142857142855,0.26832117822191554,0.30229863787722516,0.34782608695652173,0.3559322033898305,0.09302325581395349,0.42452830188679247,0.2608695652173913,0.27972027972027974,0.07228915662650602,0.13333333333333333,0.4473684210526316
8,5.711268894152018e-05,2.714008650609425,0.40465257901309387,2.9495656320026944,0.34598214285714285,0.31279826031209357,0.34643658456348475,0.29411764705882354,0.3865546218487395,0.13953488372093023,0.41237113402061853,0.35051546391752575,0.3924050632911392,0.09876543209876543,0.1694915254237288,0.5714285714285714
9,6.693534026686333e-05,2.311469037617956,0.46128044788694994,2.8901465960911343,0.3549107142857143,0.3194708933971248,0.3632158182300687,0.34285714285714286,0.3816793893129771,0.14285714285714285,0.44329896907216493,0.3368421052631579,0.36024844720496896,0.14285714285714285,0.13793103448275862,0.5866666666666667
10,7.610369432687743e-05,2.086853204028947,0.46342331547100807,2.463053149836404,0.3705357142857143,0.3360021791352262,0.3581509136753338,0.2857142857142857,0.4580152671755725,0.30434782608695654,0.44554455445544555,0.3225806451612903,0.4074074074074074,0.06666666666666667,0.22580645161290322,0.5079365079365079
11,8.421609780253188e-05,1.9247171814952577,0.5223861712440308,2.238983018057687,0.3950892857142857,0.3603345334624859,0.3810101729231911,0.2857142857142857,0.4878048780487805,0.35,0.49074074074074076,0.21978021978021978,0.46835443037974683,0.08823529411764706,0.2857142857142857,0.5666666666666667
12,9.09171571564499e-05,1.8349140925066811,0.5357359082654892,2.269892394542694,0.43973214285714285,0.4124430845016158,0.43379856694205177,0.3548387096774194,0.59375,0.3902439024390244,0.4263959390862944,0.2608695652173913,0.5555555555555556,0.11594202898550725,0.36923076923076925,0.6451612903225806
13,9.591330794806738e-05,1.7371711730957031,0.543206350155079,2.1223890611103604,0.45089285714285715,0.4137154391443343,0.40881883759945215,0.2641509433962264,0.5815602836879432,0.3888888888888889,0.48148148148148145,0.30927835051546393,0.5340909090909091,0.09523809523809523,0.46875,0.6
