Epoch 1/70 | LR: 0.000001 | Train Acc: 0.1147 | Val F1: 0.0711 | Val Acc: 0.1897
Epoch 2/70 | LR: 0.000002 | Train Acc: 0.1304 | Val F1: 0.1385 | Val Acc: 0.2254
Epoch 3/70 | LR: 0.000003 | Train Acc: 0.2089 | Val F1: 0.1581 | Val Acc: 0.2723
Epoch 4/70 | LR: 0.000004 | Train Acc: 0.3116 | Val F1: 0.2715 | Val Acc: 0.3170
Epoch 5/70 | LR: 0.000005 | Train Acc: 0.4247 | Val F1: 0.3478 | Val Acc: 0.3772
Epoch 6/70 | LR: 0.000007 | Train Acc: 0.4665 | Val F1: 0.4017 | Val Acc: 0.4107
Epoch 7/70 | LR: 0.000008 | Train Acc: 0.5200 | Val F1: 0.4987 | Val Acc: 0.5045
Epoch 8/70 | LR: 0.000010 | Train Acc: 0.5741 | Val F1: 0.5306 | Val Acc: 0.5469
Epoch 9/70 | LR: 0.000012 | Train Acc: 0.6083 | Val F1: 0.5195 | Val Acc: 0.5022
Epoch 10/70 | LR: 0.000015 | Train Acc: 0.6185 | Val F1: 0.5360 | Val Acc: 0.5580
Epoch 11/70 | LR: 0.000017 | Train Acc: 0.6533 | Val F1: 0.5846 | Val Acc: 0.6585
Epoch 12/70 | LR: 0.000019 | Train Acc: 0.6471 | Val F1: 0.5996 | Val Acc: 0.6362
Epoch 13/70 | LR: 0.000021 | Train Acc: 0.6943 | Val F1: 0.6458 | Val Acc: 0.6808
Epoch 14/70 | LR: 0.000023 | Train Acc: 0.6776 | Val F1: 0.6052 | Val Acc: 0.6205
Epoch 15/70 | LR: 0.000025 | Train Acc: 0.7099 | Val F1: 0.6149 | Val Acc: 0.6429
Epoch 16/70 | LR: 0.000026 | Train Acc: 0.6903 | Val F1: 0.6032 | Val Acc: 0.6295
Epoch 17/70 | LR: 0.000028 | Train Acc: 0.7313 | Val F1: 0.6208 | Val Acc: 0.6808
Epoch 18/70 | LR: 0.000029 | Train Acc: 0.7490 | Val F1: 0.6005 | Val Acc: 0.6272
Epoch 19/70 | LR: 0.000029 | Train Acc: 0.7854 | Val F1: 0.6709 | Val Acc: 0.6964
Epoch 20/70 | LR: 0.000030 | Train Acc: 0.7837 | Val F1: 0.5483 | Val Acc: 0.5603
Epoch 21/70 | LR: 0.000030 | Train Acc: 0.7906 | Val F1: 0.6511 | Val Acc: 0.6964
Epoch 22/70 | LR: 0.000030 | Train Acc: 0.7838 | Val F1: 0.6460 | Val Acc: 0.6964
Epoch 23/70 | LR: 0.000030 | Train Acc: 0.7925 | Val F1: 0.6414 | Val Acc: 0.6629
Epoch 24/70 | LR: 0.000030 | Train Acc: 0.8054 | Val F1: 0.6610 | Val Acc: 0.7076
Epoch 25/70 | LR: 0.000030 | Train Acc: 0.7879 | Val F1: 0.6428 | Val Acc: 0.7143
Epoch 26/70 | LR: 0.000029 | Train Acc: 0.8161 | Val F1: 0.6466 | Val Acc: 0.7098
Epoch 27/70 | LR: 0.000029 | Train Acc: 0.8064 | Val F1: 0.6599 | Val Acc: 0.7254
Epoch 28/70 | LR: 0.000029 | Train Acc: 0.8354 | Val F1: 0.6590 | Val Acc: 0.7299
Epoch 29/70 | LR: 0.000028 | Train Acc: 0.8115 | Val F1: 0.6856 | Val Acc: 0.7478
Epoch 30/70 | LR: 0.000028 | Train Acc: 0.7990 | Val F1: 0.6643 | Val Acc: 0.7188
Epoch 31/70 | LR: 0.000027 | Train Acc: 0.8374 | Val F1: 0.6753 | Val Acc: 0.7254
Epoch 32/70 | LR: 0.000026 | Train Acc: 0.8426 | Val F1: 0.6374 | Val Acc: 0.6875
Epoch 33/70 | LR: 0.000026 | Train Acc: 0.8030 | Val F1: 0.6511 | Val Acc: 0.7143
Epoch 34/70 | LR: 0.000025 | Train Acc: 0.8266 | Val F1: 0.6432 | Val Acc: 0.7054
Epoch 35/70 | LR: 0.000024 | Train Acc: 0.8245 | Val F1: 0.6806 | Val Acc: 0.7344
Epoch 36/70 | LR: 0.000024 | Train Acc: 0.8295 | Val F1: 0.6810 | Val Acc: 0.7344
Epoch 37/70 | LR: 0.000023 | Train Acc: 0.8298 | Val F1: 0.6610 | Val Acc: 0.6920
Epoch 38/70 | LR: 0.000022 | Train Acc: 0.8497 | Val F1: 0.6636 | Val Acc: 0.7321
Epoch 39/70 | LR: 0.000021 | Train Acc: 0.8634 | Val F1: 0.6876 | Val Acc: 0.7232
