Epoch 1/70 | LR: 0.000002 | Train Acc: 0.1241 | Val F1: 0.0894 | Val Acc: 0.1741
Epoch 2/70 | LR: 0.000003 | Train Acc: 0.1223 | Val F1: 0.0593 | Val Acc: 0.1964
Epoch 3/70 | LR: 0.000004 | Train Acc: 0.1783 | Val F1: 0.1287 | Val Acc: 0.2210
Epoch 4/70 | LR: 0.000006 | Train Acc: 0.2872 | Val F1: 0.2293 | Val Acc: 0.2768
Epoch 5/70 | LR: 0.000008 | Train Acc: 0.3896 | Val F1: 0.3293 | Val Acc: 0.3594
Epoch 6/70 | LR: 0.000011 | Train Acc: 0.4605 | Val F1: 0.3652 | Val Acc: 0.3594
Epoch 7/70 | LR: 0.000014 | Train Acc: 0.5046 | Val F1: 0.5019 | Val Acc: 0.5134
Epoch 8/70 | LR: 0.000017 | Train Acc: 0.5713 | Val F1: 0.5344 | Val Acc: 0.5379
Epoch 9/70 | LR: 0.000021 | Train Acc: 0.6180 | Val F1: 0.5376 | Val Acc: 0.6228
Epoch 10/70 | LR: 0.000024 | Train Acc: 0.6343 | Val F1: 0.5476 | Val Acc: 0.6317
Epoch 11/70 | LR: 0.000028 | Train Acc: 0.6481 | Val F1: 0.5656 | Val Acc: 0.6518
Epoch 12/70 | LR: 0.000031 | Train Acc: 0.6831 | Val F1: 0.6089 | Val Acc: 0.6763
Epoch 13/70 | LR: 0.000035 | Train Acc: 0.6941 | Val F1: 0.6270 | Val Acc: 0.6719
Epoch 14/70 | LR: 0.000038 | Train Acc: 0.6778 | Val F1: 0.6163 | Val Acc: 0.6808
Epoch 15/70 | LR: 0.000041 | Train Acc: 0.6847 | Val F1: 0.6586 | Val Acc: 0.6875
Epoch 16/70 | LR: 0.000044 | Train Acc: 0.7346 | Val F1: 0.6024 | Val Acc: 0.6250
Epoch 17/70 | LR: 0.000046 | Train Acc: 0.7310 | Val F1: 0.5729 | Val Acc: 0.5759
Epoch 18/70 | LR: 0.000048 | Train Acc: 0.7315 | Val F1: 0.6178 | Val Acc: 0.6585
Epoch 19/70 | LR: 0.000049 | Train Acc: 0.7533 | Val F1: 0.6682 | Val Acc: 0.6853
Epoch 20/70 | LR: 0.000050 | Train Acc: 0.7413 | Val F1: 0.6186 | Val Acc: 0.6674
Epoch 21/70 | LR: 0.000050 | Train Acc: 0.7919 | Val F1: 0.6162 | Val Acc: 0.6473
Epoch 22/70 | LR: 0.000050 | Train Acc: 0.7795 | Val F1: 0.6161 | Val Acc: 0.6451
Epoch 23/70 | LR: 0.000050 | Train Acc: 0.8055 | Val F1: 0.6482 | Val Acc: 0.7188
Epoch 24/70 | LR: 0.000050 | Train Acc: 0.7873 | Val F1: 0.5919 | Val Acc: 0.5938
Epoch 25/70 | LR: 0.000049 | Train Acc: 0.8153 | Val F1: 0.6460 | Val Acc: 0.6451
Epoch 26/70 | LR: 0.000049 | Train Acc: 0.8101 | Val F1: 0.6378 | Val Acc: 0.6853
Epoch 27/70 | LR: 0.000048 | Train Acc: 0.8201 | Val F1: 0.6227 | Val Acc: 0.6607
Epoch 28/70 | LR: 0.000048 | Train Acc: 0.8283 | Val F1: 0.6647 | Val Acc: 0.7210
Epoch 29/70 | LR: 0.000047 | Train Acc: 0.8156 | Val F1: 0.6658 | Val Acc: 0.7254
Epoch 30/70 | LR: 0.000046 | Train Acc: 0.8247 | Val F1: 0.6604 | Val Acc: 0.7076
Epoch 31/70 | LR: 0.000045 | Train Acc: 0.8359 | Val F1: 0.6632 | Val Acc: 0.7277
Epoch 32/70 | LR: 0.000044 | Train Acc: 0.8515 | Val F1: 0.6436 | Val Acc: 0.6897
Epoch 33/70 | LR: 0.000043 | Train Acc: 0.8501 | Val F1: 0.6560 | Val Acc: 0.7009
Epoch 34/70 | LR: 0.000042 | Train Acc: 0.8621 | Val F1: 0.6632 | Val Acc: 0.6875
Epoch 35/70 | LR: 0.000041 | Train Acc: 0.8401 | Val F1: 0.6617 | Val Acc: 0.7277
Epoch 36/70 | LR: 0.000039 | Train Acc: 0.8529 | Val F1: 0.6599 | Val Acc: 0.7098
Epoch 37/70 | LR: 0.000038 | Train Acc: 0.8467 | Val F1: 0.6619 | Val Acc: 0.7165
Epoch 38/70 | LR: 0.000037 | Train Acc: 0.8597 | Val F1: 0.6398 | Val Acc: 0.6763
Epoch 39/70 | LR: 0.000035 | Train Acc: 0.8225 | Val F1: 0.6513 | Val Acc: 0.7054
