epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,2.2682878324673596e-06,3.1644545665809085,0.12409252564183113,2.9479617050715854,0.17410714285714285,0.0894170700439421,0.14193944273654419,0.07317073170731707,0.26126126126126126,0.0,0.3416666666666667,0.0,0.0,0.08421052631578947,0.044444444444444446,0.0
2,3.067153133115268e-06,2.6629905913557326,0.12232357638920116,2.512630990573338,0.19642857142857142,0.059271544482551924,0.1316581968755882,0.08130081300813008,0.0,0.0,0.38317757009345793,0.0,0.0,0.0,0.0,0.06896551724137931
3,4.378735415281716e-06,2.472139540527548,0.17831175055069873,2.309006324836186,0.22098214285714285,0.12868032351600425,0.22415563502520022,0.16666666666666666,0.0,0.0,0.49295774647887325,0.0,0.0,0.05405405405405406,0.0,0.4444444444444444
4,6.17371121500127e-06,2.162336283496448,0.28723041023507856,1.9136350027152471,0.2767857142857143,0.22928683974082775,0.32096511750568,0.19909502262443438,0.02564102564102564,0.4,0.518796992481203,0.0,0.08247422680412371,0.05714285714285714,0.13636363636363635,0.6440677966101694
5,8.411949685054085e-06,1.774618502174105,0.3895569876676695,1.6154588631221227,0.359375,0.3292927755068751,0.4018376667108244,0.21951219512195122,0.3300970873786408,0.6341463414634146,0.5533596837944664,0.0,0.29357798165137616,0.05714285714285714,0.16393442622950818,0.711864406779661
6,1.104340981313389e-05,1.5920531409127372,0.4604628898124333,1.608954289129802,0.359375,0.3652158303940597,0.41461607526944483,0.234375,0.42990654205607476,0.7222222222222222,0.4693140794223827,0.07792207792207792,0.22857142857142856,0.21739130434782608,0.17647058823529413,0.7307692307692307
7,1.4009259204741757e-05,1.49478972277471,0.5046148839308389,1.3649810403585434,0.5133928571428571,0.501893597058671,0.5425958053551709,0.33962264150943394,0.7007299270072993,0.6875,0.5384615384615384,0.1794871794871795,0.6222222222222222,0.1568627450980392,0.3956043956043956,0.896551724137931
8,1.7243189417819446e-05,1.3228937211845602,0.5712825575732173,1.2827226668596268,0.5379464285714286,0.5344486037672712,0.5946309640537336,0.3838383838383838,0.7945205479452054,0.7222222222222222,0.43333333333333335,0.2222222222222222,0.7346938775510204,0.23376623376623376,0.3888888888888889,0.896551724137931
9,2.0672898441765505e-05,1.237969701311418,0.618047260825425,1.0604431650468282,0.6227678571428571,0.5376494555079195,0.5685754853286896,0.5294117647058824,0.782051282051282,0.6060606060606061,0.6502057613168725,0.24096385542168675,0.7607361963190185,0.0,0.3880597014925373,0.8813559322033898
10,2.4221707176577582e-05,1.2432494605226176,0.6342960918901487,1.0164823766265596,0.6316964285714286,0.5476301706693335,0.5875618669615954,0.4675324675324675,0.8055555555555556,0.5882352941176471,0.6776859504132231,0.2891566265060241,0.7402597402597403,0.0,0.475,0.8852459016393442
