Epoch 1/50 | LR: 0.000005 | Train Acc: 0.1129 | Val F1: 0.1242 | Val Acc: 0.1429
Epoch 2/50 | LR: 0.000008 | Train Acc: 0.1181 | Val F1: 0.1343 | Val Acc: 0.1629
Epoch 3/50 | LR: 0.000013 | Train Acc: 0.1399 | Val F1: 0.1729 | Val Acc: 0.2031
Epoch 4/50 | LR: 0.000020 | Train Acc: 0.1870 | Val F1: 0.1997 | Val Acc: 0.2344
Epoch 5/50 | LR: 0.000028 | Train Acc: 0.2457 | Val F1: 0.2192 | Val Acc: 0.2634
Epoch 6/50 | LR: 0.000037 | Train Acc: 0.3043 | Val F1: 0.2623 | Val Acc: 0.3080
Epoch 7/50 | LR: 0.000047 | Train Acc: 0.3585 | Val F1: 0.3066 | Val Acc: 0.3415
Epoch 8/50 | LR: 0.000057 | Train Acc: 0.3870 | Val F1: 0.3343 | Val Acc: 0.3571
Epoch 9/50 | LR: 0.000067 | Train Acc: 0.4056 | Val F1: 0.3374 | Val Acc: 0.3661
Epoch 10/50 | LR: 0.000076 | Train Acc: 0.4508 | Val F1: 0.3513 | Val Acc: 0.3906
Epoch 11/50 | LR: 0.000084 | Train Acc: 0.4822 | Val F1: 0.3914 | Val Acc: 0.4062
Epoch 12/50 | LR: 0.000091 | Train Acc: 0.4977 | Val F1: 0.3927 | Val Acc: 0.4129
Epoch 13/50 | LR: 0.000096 | Train Acc: 0.5172 | Val F1: 0.4120 | Val Acc: 0.4353
Epoch 14/50 | LR: 0.000099 | Train Acc: 0.5798 | Val F1: 0.4312 | Val Acc: 0.4710
Epoch 15/50 | LR: 0.000100 | Train Acc: 0.5823 | Val F1: 0.4472 | Val Acc: 0.4866
Epoch 16/50 | LR: 0.000100 | Train Acc: 0.6454 | Val F1: 0.4372 | Val Acc: 0.4777
Epoch 17/50 | LR: 0.000099 | Train Acc: 0.6458 | Val F1: 0.4723 | Val Acc: 0.5357
Epoch 18/50 | LR: 0.000098 | Train Acc: 0.6580 | Val F1: 0.5076 | Val Acc: 0.5580
Epoch 19/50 | LR: 0.000097 | Train Acc: 0.6424 | Val F1: 0.5222 | Val Acc: 0.5647
Epoch 20/50 | LR: 0.000095 | Train Acc: 0.6724 | Val F1: 0.5159 | Val Acc: 0.5603
Epoch 21/50 | LR: 0.000093 | Train Acc: 0.7345 | Val F1: 0.5163 | Val Acc: 0.5871
Epoch 22/50 | LR: 0.000090 | Train Acc: 0.7217 | Val F1: 0.5206 | Val Acc: 0.5580
Epoch 23/50 | LR: 0.000088 | Train Acc: 0.7012 | Val F1: 0.5135 | Val Acc: 0.5804
Epoch 24/50 | LR: 0.000084 | Train Acc: 0.7131 | Val F1: 0.5139 | Val Acc: 0.5826
Epoch 25/50 | LR: 0.000081 | Train Acc: 0.7501 | Val F1: 0.5527 | Val Acc: 0.6071
Epoch 26/50 | LR: 0.000077 | Train Acc: 0.7386 | Val F1: 0.5455 | Val Acc: 0.6094
Epoch 27/50 | LR: 0.000074 | Train Acc: 0.7210 | Val F1: 0.5249 | Val Acc: 0.5982
Epoch 28/50 | LR: 0.000070 | Train Acc: 0.7154 | Val F1: 0.5018 | Val Acc: 0.5513
Epoch 29/50 | LR: 0.000065 | Train Acc: 0.7702 | Val F1: 0.5575 | Val Acc: 0.6138
Epoch 30/50 | LR: 0.000061 | Train Acc: 0.7497 | Val F1: 0.5386 | Val Acc: 0.5826
Epoch 31/50 | LR: 0.000057 | Train Acc: 0.7705 | Val F1: 0.5606 | Val Acc: 0.6183
Epoch 32/50 | LR: 0.000052 | Train Acc: 0.7408 | Val F1: 0.5570 | Val Acc: 0.6049
Epoch 33/50 | LR: 0.000048 | Train Acc: 0.7971 | Val F1: 0.5523 | Val Acc: 0.6004
Epoch 34/50 | LR: 0.000043 | Train Acc: 0.7649 | Val F1: 0.5474 | Val Acc: 0.6004
Epoch 35/50 | LR: 0.000039 | Train Acc: 0.7866 | Val F1: 0.5590 | Val Acc: 0.6183
Epoch 36/50 | LR: 0.000034 | Train Acc: 0.7848 | Val F1: 0.5421 | Val Acc: 0.6049
Epoch 37/50 | LR: 0.000030 | Train Acc: 0.7954 | Val F1: 0.5857 | Val Acc: 0.6540
Epoch 38/50 | LR: 0.000026 | Train Acc: 0.8567 | Val F1: 0.5727 | Val Acc: 0.6451
Epoch 39/50 | LR: 0.000022 | Train Acc: 0.8049 | Val F1: 0.5552 | Val Acc: 0.6205
Epoch 40/50 | LR: 0.000019 | Train Acc: 0.7868 | Val F1: 0.5656 | Val Acc: 0.6317
Epoch 41/50 | LR: 0.000015 | Train Acc: 0.8081 | Val F1: 0.5497 | Val Acc: 0.6161
Epoch 42/50 | LR: 0.000012 | Train Acc: 0.8496 | Val F1: 0.5728 | Val Acc: 0.6362
Epoch 43/50 | LR: 0.000010 | Train Acc: 0.8244 | Val F1: 0.5715 | Val Acc: 0.6384
Epoch 44/50 | LR: 0.000007 | Train Acc: 0.8270 | Val F1: 0.5637 | Val Acc: 0.6183
Epoch 45/50 | LR: 0.000005 | Train Acc: 0.8219 | Val F1: 0.5738 | Val Acc: 0.6339
Epoch 46/50 | LR: 0.000003 | Train Acc: 0.8152 | Val F1: 0.5768 | Val Acc: 0.6339
Epoch 47/50 | LR: 0.000002 | Train Acc: 0.8180 | Val F1: 0.5626 | Val Acc: 0.6250
