Epoch 1/70 | LR: 0.000005 | Train Acc: 0.1271 | Val F1: 0.0852 | Val Acc: 0.1964
Epoch 2/70 | LR: 0.000006 | Train Acc: 0.1846 | Val F1: 0.1669 | Val Acc: 0.2656
Epoch 3/70 | LR: 0.000009 | Train Acc: 0.3391 | Val F1: 0.2680 | Val Acc: 0.3415
Epoch 4/70 | LR: 0.000012 | Train Acc: 0.4157 | Val F1: 0.3062 | Val Acc: 0.3415
Epoch 5/70 | LR: 0.000017 | Train Acc: 0.4629 | Val F1: 0.3577 | Val Acc: 0.3772
Epoch 6/70 | LR: 0.000022 | Train Acc: 0.5204 | Val F1: 0.4360 | Val Acc: 0.4665
Epoch 7/70 | LR: 0.000028 | Train Acc: 0.5499 | Val F1: 0.4828 | Val Acc: 0.5357
Epoch 8/70 | LR: 0.000034 | Train Acc: 0.5835 | Val F1: 0.5009 | Val Acc: 0.5000
Epoch 9/70 | LR: 0.000041 | Train Acc: 0.5979 | Val F1: 0.5048 | Val Acc: 0.5402
Epoch 10/70 | LR: 0.000048 | Train Acc: 0.6221 | Val F1: 0.5354 | Val Acc: 0.5424
Epoch 11/70 | LR: 0.000056 | Train Acc: 0.6398 | Val F1: 0.5100 | Val Acc: 0.5379
Epoch 12/70 | LR: 0.000063 | Train Acc: 0.6597 | Val F1: 0.5288 | Val Acc: 0.5692
Epoch 13/70 | LR: 0.000070 | Train Acc: 0.6727 | Val F1: 0.6165 | Val Acc: 0.6763
Epoch 14/70 | LR: 0.000076 | Train Acc: 0.6301 | Val F1: 0.5530 | Val Acc: 0.6429
Epoch 15/70 | LR: 0.000082 | Train Acc: 0.6825 | Val F1: 0.6035 | Val Acc: 0.6540
Epoch 16/70 | LR: 0.000087 | Train Acc: 0.7009 | Val F1: 0.6360 | Val Acc: 0.6384
Epoch 17/70 | LR: 0.000092 | Train Acc: 0.6920 | Val F1: 0.5138 | Val Acc: 0.5781
Epoch 18/70 | LR: 0.000095 | Train Acc: 0.7060 | Val F1: 0.5305 | Val Acc: 0.5179
