epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,4.730673204504719e-06,5.344992407730648,0.12501807277840168,6.594243424279349,0.11383928571428571,0.10326783868640171,0.1468805647898086,0.0,0.1836734693877551,0.09090909090909091,0.13445378151260504,0.12903225806451613,0.05825242718446602,0.05084745762711865,0.06349206349206349,0.21875
2,6.900447679194637e-06,4.657822383301599,0.14815129613423733,5.907461268561227,0.12053571428571429,0.11281938260997038,0.1432933359070653,0.03389830508474576,0.22641509433962265,0.05714285714285714,0.13138686131386862,0.13559322033898305,0.0392156862745098,0.03333333333333333,0.12698412698412698,0.23140495867768596
3,1.0443265254550023e-05,4.105279228516987,0.17196243691883695,5.506612913949149,0.12946428571428573,0.12289172958546309,0.1628673247817015,0.07792207792207792,0.2524271844660194,0.05970149253731343,0.13636363636363635,0.10434782608695652,0.07766990291262135,0.04838709677419355,0.06349206349206349,0.2857142857142857
4,1.5251265852622489e-05,3.6780839221818105,0.21969150604980742,4.726836442947388,0.14508928571428573,0.1427004803558002,0.20390920138425347,0.08695652173913043,0.23529411764705882,0.16129032258064516,0.18840579710144928,0.0594059405940594,0.058823529411764705,0.08547008547008547,0.1038961038961039,0.3047619047619048
5,2.1178071256568144e-05,3.1694077466215407,0.2781443151264201,4.015896320343018,0.20758928571428573,0.19995205126039395,0.2636683851990707,0.17582417582417584,0.3018867924528302,0.17543859649122806,0.2874251497005988,0.06451612903225806,0.1834862385321101,0.09375,0.10344827586206896,0.41379310344827586
6,2.8043241554012933e-05,2.7637276500463486,0.3076599934192958,3.4706087623323714,0.23660714285714285,0.22560353719337842,0.279191729393737,0.11494252873563218,0.3392857142857143,0.21739130434782608,0.31351351351351353,0.08695652173913043,0.22413793103448276,0.10619469026548672,0.17857142857142858,0.449438202247191
7,3.5637768579094165e-05,2.7358133792877197,0.3454175288287173,3.138095566204616,0.25669642857142855,0.24501759202816834,0.29162864063890087,0.19047619047619047,0.2692307692307692,0.14634146341463414,0.3024390243902439,0.11904761904761904,0.3492063492063492,0.10619469026548672,0.2222222222222222,0.5
8,4.373043910689043e-05,2.3802136246647154,0.383881971730925,2.8646734612328664,0.3080357142857143,0.28953918802202033,0.3515663576551492,0.2247191011235955,0.36363636363636365,0.2127659574468085,0.37373737373737376,0.17582417582417584,0.3511450381679389,0.15730337078651685,0.19672131147540983,0.55
9,5.207487407458735e-05,2.1093171324048723,0.435419826518218,2.6157597473689487,0.31473214285714285,0.2951607372943062,0.3569799303530261,0.24528301886792453,0.36036036036036034,0.22727272727272727,0.39,0.11904761904761904,0.3939393939393939,0.13953488372093023,0.16129032258064516,0.6197183098591549
10,6.0417029522283714e-05,1.9839996269771032,0.480597735915618,2.418298210416521,0.34598214285714285,0.31896050873590914,0.3788937126543776,0.2706766917293233,0.48333333333333334,0.2727272727272727,0.40860215053763443,0.14457831325301204,0.43609022556390975,0.08571428571428572,0.14035087719298245,0.6285714285714286
