Epoch 1/50 | LR: 0.000005 | Train Acc: 0.1265 | Val F1: 0.0932 | Val Acc: 0.0960
Epoch 2/50 | LR: 0.000008 | Train Acc: 0.1374 | Val F1: 0.1170 | Val Acc: 0.1116
Epoch 3/50 | LR: 0.000013 | Train Acc: 0.1774 | Val F1: 0.1173 | Val Acc: 0.1161
Epoch 4/50 | LR: 0.000020 | Train Acc: 0.2130 | Val F1: 0.1400 | Val Acc: 0.1384
Epoch 5/50 | LR: 0.000028 | Train Acc: 0.2630 | Val F1: 0.1934 | Val Acc: 0.1987
Epoch 6/50 | LR: 0.000037 | Train Acc: 0.3017 | Val F1: 0.2529 | Val Acc: 0.2701
Epoch 7/50 | LR: 0.000047 | Train Acc: 0.3324 | Val F1: 0.2715 | Val Acc: 0.2879
Epoch 8/50 | LR: 0.000057 | Train Acc: 0.3840 | Val F1: 0.3082 | Val Acc: 0.3371
Epoch 9/50 | LR: 0.000067 | Train Acc: 0.4188 | Val F1: 0.3408 | Val Acc: 0.3594
Epoch 10/50 | LR: 0.000076 | Train Acc: 0.4659 | Val F1: 0.3645 | Val Acc: 0.3906
Epoch 11/50 | LR: 0.000084 | Train Acc: 0.4783 | Val F1: 0.3976 | Val Acc: 0.4286
Epoch 12/50 | LR: 0.000091 | Train Acc: 0.5247 | Val F1: 0.3829 | Val Acc: 0.4062
Epoch 13/50 | LR: 0.000096 | Train Acc: 0.5215 | Val F1: 0.4033 | Val Acc: 0.4397
Epoch 14/50 | LR: 0.000099 | Train Acc: 0.5758 | Val F1: 0.4343 | Val Acc: 0.4710
Epoch 15/50 | LR: 0.000100 | Train Acc: 0.6192 | Val F1: 0.4559 | Val Acc: 0.4821
Epoch 16/50 | LR: 0.000100 | Train Acc: 0.6095 | Val F1: 0.4732 | Val Acc: 0.5022
Epoch 17/50 | LR: 0.000099 | Train Acc: 0.6055 | Val F1: 0.4830 | Val Acc: 0.4978
Epoch 18/50 | LR: 0.000098 | Train Acc: 0.6591 | Val F1: 0.5101 | Val Acc: 0.5223
Epoch 19/50 | LR: 0.000097 | Train Acc: 0.6711 | Val F1: 0.5312 | Val Acc: 0.5469
Epoch 20/50 | LR: 0.000095 | Train Acc: 0.6919 | Val F1: 0.5347 | Val Acc: 0.5491
Epoch 21/50 | LR: 0.000093 | Train Acc: 0.6970 | Val F1: 0.5352 | Val Acc: 0.5625
Epoch 22/50 | LR: 0.000090 | Train Acc: 0.6777 | Val F1: 0.5512 | Val Acc: 0.5692
Epoch 23/50 | LR: 0.000088 | Train Acc: 0.7360 | Val F1: 0.5463 | Val Acc: 0.5692
Epoch 24/50 | LR: 0.000084 | Train Acc: 0.7604 | Val F1: 0.5447 | Val Acc: 0.5893
Epoch 25/50 | LR: 0.000081 | Train Acc: 0.7800 | Val F1: 0.5544 | Val Acc: 0.5893
Epoch 26/50 | LR: 0.000077 | Train Acc: 0.7254 | Val F1: 0.5752 | Val Acc: 0.6161
Epoch 27/50 | LR: 0.000074 | Train Acc: 0.7310 | Val F1: 0.5535 | Val Acc: 0.5915
Epoch 28/50 | LR: 0.000070 | Train Acc: 0.7100 | Val F1: 0.5601 | Val Acc: 0.6094
Epoch 29/50 | LR: 0.000065 | Train Acc: 0.7538 | Val F1: 0.5718 | Val Acc: 0.6250
Epoch 30/50 | LR: 0.000061 | Train Acc: 0.7736 | Val F1: 0.5779 | Val Acc: 0.6272
Epoch 31/50 | LR: 0.000057 | Train Acc: 0.7742 | Val F1: 0.5772 | Val Acc: 0.6317
Epoch 32/50 | LR: 0.000052 | Train Acc: 0.7990 | Val F1: 0.5887 | Val Acc: 0.6429
Epoch 33/50 | LR: 0.000048 | Train Acc: 0.8059 | Val F1: 0.5859 | Val Acc: 0.6384
Epoch 34/50 | LR: 0.000043 | Train Acc: 0.7877 | Val F1: 0.5724 | Val Acc: 0.6250
Epoch 35/50 | LR: 0.000039 | Train Acc: 0.8042 | Val F1: 0.6027 | Val Acc: 0.6540
Epoch 36/50 | LR: 0.000034 | Train Acc: 0.7933 | Val F1: 0.6008 | Val Acc: 0.6473
Epoch 37/50 | LR: 0.000030 | Train Acc: 0.7881 | Val F1: 0.5811 | Val Acc: 0.6228
Epoch 38/50 | LR: 0.000026 | Train Acc: 0.7737 | Val F1: 0.5905 | Val Acc: 0.6429
Epoch 39/50 | LR: 0.000022 | Train Acc: 0.7563 | Val F1: 0.5921 | Val Acc: 0.6362
Epoch 40/50 | LR: 0.000019 | Train Acc: 0.7850 | Val F1: 0.5808 | Val Acc: 0.6295
Epoch 41/50 | LR: 0.000015 | Train Acc: 0.8068 | Val F1: 0.6094 | Val Acc: 0.6562
Epoch 42/50 | LR: 0.000012 | Train Acc: 0.8144 | Val F1: 0.5899 | Val Acc: 0.6406
Epoch 43/50 | LR: 0.000010 | Train Acc: 0.7784 | Val F1: 0.5827 | Val Acc: 0.6317
Epoch 44/50 | LR: 0.000007 | Train Acc: 0.8284 | Val F1: 0.5988 | Val Acc: 0.6429
Epoch 45/50 | LR: 0.000005 | Train Acc: 0.8246 | Val F1: 0.6051 | Val Acc: 0.6607
Epoch 46/50 | LR: 0.000003 | Train Acc: 0.8150 | Val F1: 0.5972 | Val Acc: 0.6540
Epoch 47/50 | LR: 0.000002 | Train Acc: 0.8398 | Val F1: 0.5969 | Val Acc: 0.6496
Epoch 48/50 | LR: 0.000001 | Train Acc: 0.7926 | Val F1: 0.5961 | Val Acc: 0.6473
Epoch 49/50 | LR: 0.000000 | Train Acc: 0.8085 | Val F1: 0.6138 | Val Acc: 0.6652
Epoch 50/50 | LR: 0.000000 | Train Acc: 0.8445 | Val F1: 0.6025 | Val Acc: 0.6473
