Epoch 1/50 | LR: 0.000005 | Train Acc: 0.1119 | Val F1: 0.0172 | Val Acc: 0.0424
Epoch 2/50 | LR: 0.000008 | Train Acc: 0.1041 | Val F1: 0.0454 | Val Acc: 0.1897
Epoch 3/50 | LR: 0.000013 | Train Acc: 0.1274 | Val F1: 0.0674 | Val Acc: 0.2121
Epoch 4/50 | LR: 0.000020 | Train Acc: 0.1695 | Val F1: 0.0635 | Val Acc: 0.1138
Epoch 5/50 | LR: 0.000028 | Train Acc: 0.2167 | Val F1: 0.1344 | Val Acc: 0.1406
Epoch 6/50 | LR: 0.000037 | Train Acc: 0.2524 | Val F1: 0.1919 | Val Acc: 0.2835
Epoch 7/50 | LR: 0.000047 | Train Acc: 0.3389 | Val F1: 0.1920 | Val Acc: 0.2433
Epoch 8/50 | LR: 0.000057 | Train Acc: 0.3900 | Val F1: 0.3241 | Val Acc: 0.4353
Epoch 9/50 | LR: 0.000067 | Train Acc: 0.4457 | Val F1: 0.3425 | Val Acc: 0.4420
Epoch 10/50 | LR: 0.000076 | Train Acc: 0.5171 | Val F1: 0.3471 | Val Acc: 0.4219
Epoch 11/50 | LR: 0.000084 | Train Acc: 0.5444 | Val F1: 0.5398 | Val Acc: 0.5469
Epoch 12/50 | LR: 0.000091 | Train Acc: 0.5757 | Val F1: 0.5372 | Val Acc: 0.5335
Epoch 13/50 | LR: 0.000096 | Train Acc: 0.6100 | Val F1: 0.4888 | Val Acc: 0.5379
Epoch 14/50 | LR: 0.000099 | Train Acc: 0.6305 | Val F1: 0.5640 | Val Acc: 0.5714
Epoch 15/50 | LR: 0.000100 | Train Acc: 0.6470 | Val F1: 0.5593 | Val Acc: 0.5446
Epoch 16/50 | LR: 0.000100 | Train Acc: 0.6439 | Val F1: 0.6234 | Val Acc: 0.6540
Epoch 17/50 | LR: 0.000099 | Train Acc: 0.6770 | Val F1: 0.6233 | Val Acc: 0.6406
Epoch 18/50 | LR: 0.000098 | Train Acc: 0.7390 | Val F1: 0.6006 | Val Acc: 0.6071
Epoch 19/50 | LR: 0.000097 | Train Acc: 0.6841 | Val F1: 0.5874 | Val Acc: 0.6496
Epoch 20/50 | LR: 0.000095 | Train Acc: 0.7344 | Val F1: 0.6589 | Val Acc: 0.6741
Epoch 21/50 | LR: 0.000093 | Train Acc: 0.7553 | Val F1: 0.5519 | Val Acc: 0.6272
Epoch 22/50 | LR: 0.000090 | Train Acc: 0.7055 | Val F1: 0.5786 | Val Acc: 0.6205
Epoch 23/50 | LR: 0.000088 | Train Acc: 0.8072 | Val F1: 0.6387 | Val Acc: 0.6696
Epoch 24/50 | LR: 0.000084 | Train Acc: 0.7828 | Val F1: 0.6292 | Val Acc: 0.6629
Epoch 25/50 | LR: 0.000081 | Train Acc: 0.7710 | Val F1: 0.6508 | Val Acc: 0.7054
Epoch 26/50 | LR: 0.000077 | Train Acc: 0.7659 | Val F1: 0.6715 | Val Acc: 0.6942
Epoch 27/50 | LR: 0.000074 | Train Acc: 0.8278 | Val F1: 0.6649 | Val Acc: 0.7366
Epoch 28/50 | LR: 0.000070 | Train Acc: 0.7982 | Val F1: 0.6610 | Val Acc: 0.7299
Epoch 29/50 | LR: 0.000065 | Train Acc: 0.7881 | Val F1: 0.6575 | Val Acc: 0.7188
Epoch 30/50 | LR: 0.000061 | Train Acc: 0.7956 | Val F1: 0.6745 | Val Acc: 0.7299
Epoch 31/50 | LR: 0.000057 | Train Acc: 0.8070 | Val F1: 0.6493 | Val Acc: 0.7210
Epoch 32/50 | LR: 0.000052 | Train Acc: 0.7999 | Val F1: 0.6560 | Val Acc: 0.7054
Epoch 33/50 | LR: 0.000048 | Train Acc: 0.8385 | Val F1: 0.6673 | Val Acc: 0.7277
Epoch 34/50 | LR: 0.000043 | Train Acc: 0.8463 | Val F1: 0.6662 | Val Acc: 0.7232
Epoch 35/50 | LR: 0.000039 | Train Acc: 0.8059 | Val F1: 0.6780 | Val Acc: 0.7366
Epoch 36/50 | LR: 0.000034 | Train Acc: 0.8322 | Val F1: 0.6627 | Val Acc: 0.7433
Epoch 37/50 | LR: 0.000030 | Train Acc: 0.8358 | Val F1: 0.6876 | Val Acc: 0.7656
Epoch 38/50 | LR: 0.000026 | Train Acc: 0.8061 | Val F1: 0.6835 | Val Acc: 0.7433
Epoch 39/50 | LR: 0.000022 | Train Acc: 0.8329 | Val F1: 0.6940 | Val Acc: 0.7612
Epoch 40/50 | LR: 0.000019 | Train Acc: 0.8665 | Val F1: 0.6767 | Val Acc: 0.7433
Epoch 41/50 | LR: 0.000015 | Train Acc: 0.8408 | Val F1: 0.6935 | Val Acc: 0.7612
Epoch 42/50 | LR: 0.000012 | Train Acc: 0.8625 | Val F1: 0.6834 | Val Acc: 0.7522
Epoch 43/50 | LR: 0.000010 | Train Acc: 0.8541 | Val F1: 0.6932 | Val Acc: 0.7656
Epoch 44/50 | LR: 0.000007 | Train Acc: 0.8236 | Val F1: 0.6817 | Val Acc: 0.7522
Epoch 45/50 | LR: 0.000005 | Train Acc: 0.8382 | Val F1: 0.6847 | Val Acc: 0.7589
Epoch 46/50 | LR: 0.000003 | Train Acc: 0.8526 | Val F1: 0.6880 | Val Acc: 0.7567
Epoch 47/50 | LR: 0.000002 | Train Acc: 0.8513 | Val F1: 0.6877 | Val Acc: 0.7567
Epoch 48/50 | LR: 0.000001 | Train Acc: 0.8417 | Val F1: 0.6931 | Val Acc: 0.7612
Epoch 49/50 | LR: 0.000000 | Train Acc: 0.8707 | Val F1: 0.6808 | Val Acc: 0.7500
Epoch 50/50 | LR: 0.000000 | Train Acc: 0.7900 | Val F1: 0.6903 | Val Acc: 0.7589
