epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_recall,actinic keratosis_F1,basal cell carcinoma_F1,dermatofibroma_F1,melanoma_F1,nevus_F1,pigmented benign keratosis_F1,seborrheic keratosis_F1,squamous cell carcinoma_F1,vascular lesion_F1
1,5.051407874699608e-06,6.139474715505328,0.1265497151065445,7.441569430487497,0.09598214285714286,0.09323920066937331,0.12281333093157065,0.0,0.18181818181818182,0.11267605633802817,0.06201550387596899,0.10526315789473684,0.08771929824561403,0.04477611940298507,0.06666666666666667,0.1782178217821782
2,8.159570727174194e-06,5.477076121738979,0.13744786711584409,6.6191482203347345,0.11160714285714286,0.11698397553234519,0.14702140227477162,0.0821917808219178,0.21568627450980393,0.14035087719298245,0.07575757575757576,0.09302325581395349,0.09090909090909091,0.043795620437956206,0.09375,0.21739130434782608
3,1.3188324103301281e-05,4.836837014981678,0.17739313052127909,6.018327576773507,0.11607142857142858,0.11729102123879834,0.16986730116884358,0.08888888888888889,0.18947368421052632,0.125,0.10071942446043165,0.08130081300813008,0.09009009009009009,0.09090909090909091,0.03636363636363636,0.25287356321839083
4,1.99173650489316e-05,4.264055562870843,0.21303202798418464,5.341222541672843,0.13839285714285715,0.13997338478856,0.18490408192186666,0.16326530612244897,0.24242424242424243,0.12698412698412698,0.1276595744680851,0.07407407407407407,0.12280701754385964,0.05217391304347826,0.09230769230769231,0.25806451612903225
5,2.805190328742299e-05,3.722899760518755,0.26297122549571383,4.365387048040118,0.19866071428571427,0.1933788947186239,0.252582477619445,0.22018348623853212,0.27450980392156865,0.1276595744680851,0.2658959537572254,0.04081632653061224,0.15254237288135594,0.07407407407407407,0.12903225806451613,0.45569620253164556
6,3.7235575587067326e-05,3.236211891685213,0.3016808960838467,3.565913575036185,0.2700892857142857,0.25292903812018314,0.29701399311779936,0.1839080459770115,0.3898305084745763,0.19047619047619047,0.3564356435643564,0.0851063829787234,0.24615384615384617,0.11494252873563218,0.22950819672131148,0.48
7,4.706605755726019e-05,3.153896729860987,0.33238670241559837,3.3679119518824985,0.28794642857142855,0.2715113642861538,0.31602464964641547,0.225,0.34782608695652173,0.2,0.357487922705314,0.12371134020618557,0.34782608695652173,0.1414141414141414,0.18518518518518517,0.5151515151515151
8,5.711268894152018e-05,2.682672698582922,0.38402001089653043,3.124245916094099,0.33705357142857145,0.3081896871193513,0.35249818008023226,0.23809523809523808,0.45901639344262296,0.23255813953488372,0.4079601990049751,0.12903225806451613,0.4105960264900662,0.15384615384615385,0.17543859649122806,0.5671641791044776
9,6.693534026686333e-05,2.4586980598313466,0.41875626320681847,2.830993175506592,0.359375,0.3408098467926747,0.3934137609379603,0.28888888888888886,0.48739495798319327,0.3673469387755102,0.4057971014492754,0.11764705882352941,0.4305555555555556,0.1388888888888889,0.24615384615384617,0.5846153846153846
10,7.610369432687743e-05,2.152959793806076,0.465851210269896,2.5688117061342512,0.390625,0.3645338286330036,0.41345258836898274,0.2956521739130435,0.5774647887323944,0.4,0.4717948717948718,0.1348314606741573,0.38848920863309355,0.11320754716981132,0.1875,0.711864406779661
11,8.421609780253188e-05,2.039787784218788,0.4782742072190072,2.663130189691271,0.42857142857142855,0.3976256751262683,0.4395377478336008,0.2823529411764706,0.5925925925925926,0.38095238095238093,0.4642857142857143,0.27722772277227725,0.5308641975308642,0.14705882352941177,0.24615384615384617,0.6571428571428571
12,9.09171571564499e-05,1.8863564665828432,0.5247300726817614,2.636858786855425,0.40625,0.3829035101253695,0.40721213782261895,0.28,0.6212121212121212,0.42424242424242425,0.42328042328042326,0.26,0.5098039215686274,0.1111111111111111,0.1724137931034483,0.6440677966101694
13,9.591330794806738e-05,1.9214989457811629,0.521511478573167,2.5036894849368503,0.43973214285714285,0.40333179492170657,0.43269406262615956,0.3177570093457944,0.6518518518518519,0.46153846153846156,0.45989304812834225,0.3238095238095238,0.5217391304347826,0.08,0.18181818181818182,0.631578947368421
14,9.898567549882212e-05,1.6089458135621888,0.5758499265848626,2.2697847740990773,0.47098214285714285,0.43429694283727627,0.4493909515455284,0.36363636363636365,0.7083333333333334,0.42857142857142855,0.44565217391304346,0.3137254901960784,0.5748502994011976,0.037037037037037035,0.3225806451612903,0.7142857142857143
15,9.999993577179554e-05,1.4961952002985137,0.6192289343897288,2.329658167702811,0.48214285714285715,0.4558518683724527,0.4830690005700203,0.29906542056074764,0.6933333333333334,0.5263157894736842,0.5108695652173914,0.36363636363636365,0.5066666666666667,0.13636363636363635,0.2807017543859649,0.7857142857142857
16,9.97914676335457e-05,1.5036727339029312,0.6095228538640979,2.1290343488965715,0.5022321428571429,0.473223196878896,0.4980637426405333,0.34782608695652173,0.6616541353383458,0.47368421052631576,0.5133689839572193,0.3300970873786408,0.5977011494252874,0.1276595744680851,0.4,0.8070175438596491
17,9.918210948510181e-05,1.4994585471493858,0.6055462106122177,2.3000688212258473,0.49776785714285715,0.4829626302041519,0.5036161323831791,0.36538461538461536,0.7132867132867133,0.5625,0.4470588235294118,0.32727272727272727,0.6375,0.10526315789473684,0.3582089552238806,0.8301886792452831
18,9.817676751997835e-05,1.2576016624058997,0.6591387130507272,2.045383555548532,0.5223214285714286,0.5101136071950422,0.5396620038466092,0.45454545454545453,0.7402597402597403,0.6857142857142857,0.4431137724550898,0.3564356435643564,0.6459627329192547,0.08955223880597014,0.3333333333333333,0.8421052631578947
19,9.6783536160547e-05,1.2291564206991876,0.6711029173075188,1.7477011340005058,0.546875,0.5312388181654527,0.5583723318551829,0.47058823529411764,0.7142857142857143,0.6470588235294118,0.5221674876847291,0.3302752293577982,0.65,0.08695652173913043,0.4931506849315068,0.8666666666666667
20,9.501363288650711e-05,1.2446059621870518,0.6918794338028236,1.8924793260438102,0.5491071428571429,0.5346604908577683,0.5559380466942714,0.4329896907216495,0.7591240875912408,0.6666666666666666,0.5240641711229946,0.44036697247706424,0.6193548387096774,0.07272727272727272,0.45454545454545453,0.8421052631578947
21,9.288130791833497e-05,1.1562638240201133,0.6969853299480121,1.6886138660567147,0.5625,0.5351739547609503,0.5482173558788099,0.47619047619047616,0.75,0.6666666666666666,0.5436893203883495,0.32,0.6585365853658537,0.0975609756097561,0.4411764705882353,0.8627450980392157
22,9.040372948288757e-05,1.2498482082571303,0.677662746124864,1.674726630960192,0.5691964285714286,0.5511756943583346,0.5626794367116739,0.4810126582278481,0.7702702702702703,0.7272727272727273,0.5151515151515151,0.3333333333333333,0.6742857142857143,0.08163265306122448,0.45454545454545453,0.9230769230769231
23,8.760084558493455e-05,1.0578551877822195,0.7359711419664103,1.9798805202756609,0.5691964285714286,0.5463478868288966,0.568947621767566,0.45,0.8026315789473685,0.6666666666666666,0.4970414201183432,0.35051546391752575,0.6931818181818182,0.0967741935483871,0.463768115942029,0.896551724137931
24,8.449522339755323e-05,1.0112800720546926,0.7604295804073263,1.68491188117436,0.5892857142857143,0.5446836303741339,0.570828438612001,0.4318181818181818,0.8,0.6857142857142857,0.5615763546798029,0.30434782608695654,0.7283236994219653,0.05,0.45901639344262296,0.8813559322033898
25,8.11118675645201e-05,0.9137314148247242,0.7800440194552202,1.692642058644976,0.5892857142857143,0.5544060740250055,0.587699594587352,0.4367816091954023,0.7801418439716312,0.6857142857142857,0.5918367346938775,0.3655913978494624,0.6706586826347305,0.1,0.47368421052631576,0.8852459016393442
26,7.747801887762175e-05,1.1057128001536642,0.7253854204195961,1.56512017760958,0.6160714285714286,0.5751823203237392,0.6034580758834331,0.45977011494252873,0.8289473684210527,0.7222222222222222,0.5841584158415841,0.4166666666666667,0.7283950617283951,0.09523809523809523,0.4745762711864407,0.8666666666666667
27,7.362293494981663e-05,1.054296423281942,0.7309979742828658,1.6519185304641724,0.5915178571428571,0.5534501247808585,0.5701229910615786,0.4523809523809524,0.7801418439716312,0.625,0.5560975609756098,0.4158415841584158,0.7151515151515152,0.047619047619047616,0.5074626865671642,0.8813559322033898
28,6.957765465013881e-05,1.1751189364918642,0.7100093363384372,1.5859371338571822,0.609375,0.560143517819108,0.5837590707337106,0.4470588235294118,0.7943262411347518,0.7222222222222222,0.6138613861386139,0.41509433962264153,0.7228915662650602,0.0,0.463768115942029,0.8620689655172413
29,6.5374748196975e-05,1.0728587486914225,0.7538280455111659,1.6329498291015625,0.625,0.5717904102437518,0.5879366397564751,0.4146341463414634,0.8299319727891157,0.7428571428571429,0.5876288659793815,0.4672897196261682,0.7674418604651163,0.0,0.4838709677419355,0.8524590163934426
30,6.104805492181708e-05,0.9480314244117055,0.7735944702131398,1.5805228309971946,0.6272321428571429,0.5779336265046618,0.5966818592002261,0.45569620253164556,0.8493150684931506,0.7058823529411765,0.59,0.41237113402061853,0.7457627118644068,0.05263157894736842,0.5230769230769231,0.8666666666666667
31,5.6632410814862206e-05,0.9866115706307548,0.7741815070743869,1.5860891427312578,0.6316964285714286,0.5772376681084808,0.5891326099100008,0.4057971014492754,0.8456375838926175,0.7222222222222222,0.6019417475728155,0.40816326530612246,0.7514450867052023,0.0,0.5633802816901409,0.896551724137931
